mechanic,final_infection_rate
None,0.193398
None,0.061216
None,0.162226
None,0.170563
None,0.019271
None,0.03446
None,0.091006
None,0.031321
None,0.107344
None,0.157648
None,0.198732
None,0.111274
None,0.052367
None,0.065865
None,0.103989
None,0.070135
None,0.049353
None,0.177155
None,0.143002
None,0.129263
None,0.213683
None,0.041072
None,0.127808
None,0.099544
None,0.21315
None,0.11302
None,0.104154
None,0.125681
None,0.214681
None,0.099954
None,0.054234
None,0.111016
None,0.136999
None,0.136703
None,0.124219
None,0.212261
None,0.078063
None,0.133519
None,0.06489
None,0.083737
None,0.022806
None,0.222346
None,0.194033
None,0.085451
None,0.105967
None,0.19829
None,0.094781
None,0.168158
None,0.105386
None,0.135938
None,0.241259
None,0.1404
None,0.032438
None,0.116268
None,0.043549
None,0.095071
None,0.124975
None,0.23685
None,0.149571
None,0.124005
None,0.24967
None,0.09013
None,0.114962
None,0.143249
None,0.119158
None,0.056822
None,0.145289
None,0.073181
None,0.139562
None,0.159884
None,0.116891
None,0.182757
None,0.15362
None,0.187994
None,0.114959
None,0.137856
None,0.164575
None,0.072351
None,0.070584
None,0.105132
None,0.096766
None,0.159692
None,0.11799
None,0.092681
None,0.122457
None,0.030378
None,0.14523
None,0.077125
None,0.084004
None,0.125613
None,0.085529
None,0.060806
None,0.115224
None,0.15987
None,0.124009
None,0.148512
None,0.026273
None,0.13043
None,0.127873
None,0.024497
None,0.095497
None,0.062898
None,0.078677
None,0.104623
None,0.043734
None,0.08168
None,0.078262
None,0.132616
None,0.100731
None,0.062459
None,0.198028
None,0.11083
None,0.156323
None,0.290855
None,0.147166
None,0.051642
None,0.040905
None,0.211834
None,0.030799
None,0.073005
None,0.07463
None,0.123415
None,0.111342
None,0.167818
None,0.076195
None,0.118392
None,0.108929
None,0.100432
None,0.130214
None,0.101063
None,0.045945
None,0.050924
None,0.084012
None,0.100998
None,0.046239
None,0.093921
None,0.145147
None,0.011481
None,0.110018
None,0.101048
None,0.205141
None,0.04208
None,0.123008
None,0.107562
None,0.075555
None,0.117695
None,0.187166
None,0.058764
None,0.058469
None,0.016505
None,0.143535
None,0.177762
None,0.082645
None,0.165949
None,0.155258
None,0.157258
None,0.007914
None,0.11024
None,0.064792
None,0.19708
None,0.070849
None,0.15897
None,0.082204
None,0.183094
None,0.13312
None,0.103296
None,0.053341
None,0.129519
None,0.115256
None,0.113766
None,0.056815
None,0.113057
None,0.107464
None,0.103261
None,0.066853
None,0.171531
None,0.053262
None,0.059592
None,0.083942
None,0.11156
None,0.082333
None,0.178302
None,0.181026
None,0.076536
None,0.127954
None,0.102176
None,0.083181
None,0.222155
None,0.108204
None,0.093292
None,0.064387
None,0.115334
None,0.184358
None,0.057275
None,0.053191
None,0.069963
None,0.204536
None,0.084935
None,0.101849
None,0.05296
ER,0.065592
ER,0.132934
ER,0.108294
ER,0.146752
ER,0.12758
ER,0.191029
ER,0.186696
ER,0.083907
ER,0.204381
ER,0.089338
ER,0.259819
ER,0.156391
ER,0.17935
ER,0.100436
ER,0.176551
ER,0.167985
ER,0.111471
ER,0.23167
ER,0.138336
ER,0.202382
ER,0.188806
ER,0.091228
ER,0.292145
ER,0.178586
ER,0.057651
ER,0.079415
ER,0.157844
ER,0.185091
ER,0.044482
ER,0.123767
ER,0.15933
ER,0.162072
ER,0.180819
ER,0.13414
ER,0.147479
ER,0.226697
ER,0.203712
ER,0.17914
ER,0.208613
